Titel,URL,Ämnesområde,Förlag/Organisation,Typ,Målgrupp
Läkartidningen,https://lakartidningen.se,Medicin/Hälsa,Sveriges Läkarförbund,Fackförbundstidning,Läkare
Vårdfokus,https://www.vardfokus.se,Vård/Omvårdnad,Vårdförbundet,Fackförbundstidning,"Sjuksköterskor, barnmorskor, biomedicinska analytiker"
Computer Sweden,https://computersweden.se,IT/Teknik,Foundry (IDG),Branschpress,IT-beslutsfattare och IT-proffs
Ny Teknik,https://www.nyteknik.se,Teknik/Innovation,Ny Teknik Media,Branschpress,Tekniker och ingenjörer
Byggindustrin,https://www.byggindustrin.se,Bygg/Anläggning,Byggindustrin,Branschpress,Byggbranschen
Byggvärlden,https://www.byggvarlden.se,Bygg/Anläggning,Byggvärlden,Branschpress,Byggentreprenörer
VVS-Forum,https://www.vvsforum.se,VVS/Energi,VVS-Forum,Branschpress,VVS-installatörer
Elektroniktidningen,https://etn.se,Elektronik,Elektroniktidningen,Branschpress,Elektronikbranschen
Dagens Arbete,https://da.se,Industri/Arbetsmarknad,IF Metall/GS-facket/Pappers,Fackförbundstidning,Industriarbetare
Kommunalarbetaren,https://ka.se,Kommunal sektor,Kommunal,Fackförbundstidning,Kommunalanställda
Kollega,https://www.kollega.se,Kommunal sektor,Kommunal,Fackförbundstidning,Kommunalanställda
Transportarbetaren,https://www.transport.se,Transport,Svenska Transportarbetareförbundet,Fackförbundstidning,Transportarbetare
Byggnadsarbetaren,https://www.byggnadsarbetaren.se,Bygg,Byggnads,Fackförbundstidning,Byggnadsarbetare
Elektrikern,https://www.elektrikern.se,El/Installation,Elektrikerförbundet,Fackförbundstidning,Elektriker
Handelsnytt,https://handels.se,Handel,Handelsanställdas förbund,Fackförbundstidning,Handelsanställda
Hotellrevyn,https://www.hrf.net,Hotell/Restaurang,HRF,Fackförbundstidning,Hotell- och restauranganställda
Ingenjören,https://www.ingenjoren.se,Teknik/Ingenjörsvetenskap,Sveriges Ingenjörer,Fackförbundstidning,Ingenjörer
Journalisten,https://www.sjf.se/journalisten,Media/Journalistik,Svenska Journalistförbundet,Fackförbundstidning,Journalister
Läraren,https://www.lararen.se,Utbildning,Lärarnas Riksförbund,Fackförbundstidning,Lärare
Akademikern,https://www.akavia.se,Akademiker,Akavia,Fackförbundstidning,Akademiker
Arkitekten,https://arkitekten.se,Arkitektur,Sveriges Arkitekter,Fackförbundstidning,Arkitekter
Chef & Karriär,https://chefochkarriar.se,Ledarskap,Ledarna,Fackförbundstidning,Chefer
Dagens Medicin,https://www.dagensmedicin.se,Medicin/Sjukvård,Bonnier Healthcare,Branschpress,Vårdpersonal
Fysioterapi,https://www.fysioterapi.se,Fysioterapi,Fysioterapeuterna,Fackförbundstidning,Fysioterapeuter
Målarnas facktidning,https://malarna.se,Bygg/Måleri,Målareförbundet,Fackförbundstidning,Målare
Polistidningen,https://www.polisforbundet.se,Polis/Säkerhet,Polisförbundet,Fackförbundstidning,Poliser
Psykologtidningen,https://www.psykologtidningen.se,Psykologi,Sveriges Psykologförbund,Fackförbundstidning,Psykologer
Publikt,https://www.publikt.se,Scen/Film,Scen & Film,Fackförbundstidning,Scen- och filmarbetare
Sekotidningen,https://www.seko.se,Service/Kommunikation,Seko,Fackförbundstidning,Service- och kommunikationsanställda
Skolledaren,https://www.skolledarna.se,Utbildning/Ledning,Skolledarförbundet,Fackförbundstidning,Skolledare
Tandläkartidningen,https://www.tandlakartidningen.se,Tandvård,Sveriges Tandläkarförbund,Fackförbundstidning,Tandläkare
Tidningen Vision,https://vision.se,Välfärd,Vision,Fackförbundstidning,Välfärdsanställda
Universitetsläraren,https://universitetslararen.se,Högre utbildning,SULF,Fackförbundstidning,Universitetslärare
Arbetsvärlden,https://www.arbetsvärlden.se,Arbetsmarknad,TCO,Fackförbundstidning,TCO-medlemmar
Folkhögskolan,https://www.folkhogskolan.nu,Utbildning,RIO,Branschpress,Folkhögskolor
ATL - Lantbrukets Affärstidning,https://www.atl.nu,Lantbruk,LRF Media,Branschpress,Lantbrukare
Land Lantbruk,https://www.landlantbruk.se,Lantbruk,LRF Media,Branschpress,Lantbrukare
Skogen,https://www.skogen.se,Skogsbruk,Föreningen Skogen,Branschpress,Skogsägare
Skogsland,https://www.skogsland.se,Skogsbruk,LRF Media,Branschpress,Skogsägare
